account_id,account_name,industry,country,signup_date,referral_source,plan_tier_x,seats_x,is_trial_x,churn_flag_x,subscription_id,start_date,end_date,plan_tier_y,seats_y,mrr_amount,arr_amount,is_trial_y,upgrade_flag,downgrade_flag,churn_flag_y,billing_frequency,auto_renew_flag,usage_count,usage_duration_secs,error_count,total_tickets,avg_satisfaction
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,S-faa8ec,2024-12-09,0,Basic,11,209,2508,False,False,False,False,monthly,True,42.0,12313.0,0.0,2.0,3.4906382978723407
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,S-b78829,2024-11-12,0,Pro,20,980,11760,False,False,False,False,monthly,True,46.0,13363.0,4.0,2.0,3.4906382978723407
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,S-7ce677,2024-10-20,0,Pro,9,441,5292,False,False,False,False,monthly,True,44.0,9964.0,5.0,2.0,3.4906382978723407
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,S-34a131,2024-11-29,0,Enterprise,9,1791,21492,False,False,False,False,annual,False,41.0,12772.0,6.0,2.0,3.4906382978723407
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,S-1e349b,2024-11-13,0,Basic,102,1938,23256,False,False,False,False,monthly,True,66.0,23501.0,0.0,2.0,3.4906382978723407
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,S-d24841,2024-11-17,0,Pro,9,0,0,True,True,False,False,annual,True,78.0,19897.0,4.0,2.0,3.4906382978723407
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,S-c4cef7,2024-10-25,0,Pro,13,637,7644,False,False,False,False,annual,False,60.0,21235.0,2.0,2.0,3.4906382978723407
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,S-3d7bed,2024-12-22,0,Basic,44,836,10032,False,False,False,False,monthly,True,82.0,24336.0,5.0,2.0,3.4906382978723407
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,S-e79dbc,2024-10-30,0,Pro,66,0,0,True,False,False,False,monthly,True,58.0,10578.0,7.0,2.0,3.4906382978723407
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,S-d4d459,2024-12-19,0,Enterprise,29,5771,69252,False,False,False,False,monthly,True,18.0,4380.0,5.0,2.0,3.4906382978723407
A-43a9e3,Company_1,FinTech,IN,2023-08-17,other,Basic,18,False,True,S-f3274c,2024-02-07,0,Pro,18,882,10584,False,False,False,False,annual,False,30.0,5319.0,0.0,3.0,4.0
A-43a9e3,Company_1,FinTech,IN,2023-08-17,other,Basic,18,False,True,S-8e5fd4,2024-03-09,0,Basic,27,513,6156,False,True,False,False,annual,True,69.0,28506.0,4.0,3.0,4.0
A-43a9e3,Company_1,FinTech,IN,2023-08-17,other,Basic,18,False,True,S-fa8c75,2024-07-08,0,Pro,18,882,10584,False,False,False,False,monthly,True,40.0,9880.0,1.0,3.0,4.0
A-43a9e3,Company_1,FinTech,IN,2023-08-17,other,Basic,18,False,True,S-df262a,2023-11-06,0,Enterprise,28,5572,66864,False,True,False,False,monthly,True,71.0,20207.0,4.0,3.0,4.0
A-43a9e3,Company_1,FinTech,IN,2023-08-17,other,Basic,18,False,True,S-c80ac4,2023-11-29,0,Basic,18,342,4104,False,False,False,False,annual,True,21.0,5082.0,0.0,3.0,4.0
A-43a9e3,Company_1,FinTech,IN,2023-08-17,other,Basic,18,False,True,S-9171f0,2024-03-26,0,Basic,27,513,6156,False,False,False,False,annual,True,37.0,9036.0,0.0,3.0,4.0
A-43a9e3,Company_1,FinTech,IN,2023-08-17,other,Basic,18,False,True,S-0d2fb8,2023-09-20,0,Basic,22,418,5016,False,False,False,False,annual,False,27.0,8745.0,5.0,3.0,4.0
A-43a9e3,Company_1,FinTech,IN,2023-08-17,other,Basic,18,False,True,S-726749,2024-02-22,0,Pro,18,882,10584,False,True,False,False,annual,True,60.0,14361.0,0.0,3.0,4.0
A-0a282f,Company_2,DevTools,US,2024-08-27,organic,Basic,1,False,False,S-ce5450,2024-12-25,2024-12-28 00:00:00,Pro,8,0,0,True,False,False,True,annual,True,80.0,24319.0,5.0,3.0,4.666666666666667
A-0a282f,Company_2,DevTools,US,2024-08-27,organic,Basic,1,False,False,S-f615d2,2024-10-23,0,Pro,18,882,10584,False,True,False,False,monthly,True,40.0,19363.0,1.0,3.0,4.666666666666667
A-0a282f,Company_2,DevTools,US,2024-08-27,organic,Basic,1,False,False,S-a346d6,2024-08-31,2024-09-25 00:00:00,Enterprise,19,3781,45372,False,False,False,True,annual,True,39.0,9936.0,2.0,3.0,4.666666666666667
A-0a282f,Company_2,DevTools,US,2024-08-27,organic,Basic,1,False,False,S-45baa6,2024-10-08,0,Pro,4,196,2352,False,False,False,False,monthly,True,35.0,9672.0,3.0,3.0,4.666666666666667
A-0a282f,Company_2,DevTools,US,2024-08-27,organic,Basic,1,False,False,S-f32440,2024-10-06,0,Basic,40,760,9120,False,False,False,False,monthly,True,51.0,13598.0,2.0,3.0,4.666666666666667
A-0a282f,Company_2,DevTools,US,2024-08-27,organic,Basic,1,False,False,S-973e8e,2024-09-28,2024-12-16 00:00:00,Enterprise,6,1194,14328,False,False,False,True,annual,True,66.0,29054.0,2.0,3.0,4.666666666666667
A-0a282f,Company_2,DevTools,US,2024-08-27,organic,Basic,1,False,False,S-d6106b,2024-10-16,0,Basic,6,114,1368,False,False,False,False,monthly,True,45.0,10776.0,6.0,3.0,4.666666666666667
A-0a282f,Company_2,DevTools,US,2024-08-27,organic,Basic,1,False,False,S-22eb3c,2024-12-20,0,Basic,60,1140,13680,False,False,False,False,monthly,True,64.0,14775.0,6.0,3.0,4.666666666666667
A-0a282f,Company_2,DevTools,US,2024-08-27,organic,Basic,1,False,False,S-3b98b1,2024-10-10,0,Enterprise,29,5771,69252,False,False,False,False,monthly,True,31.0,9311.0,1.0,3.0,4.666666666666667
A-0a282f,Company_2,DevTools,US,2024-08-27,organic,Basic,1,False,False,S-fc7e8e,2024-10-11,0,Enterprise,2,398,4776,False,False,False,False,monthly,True,92.0,20861.0,4.0,3.0,4.666666666666667
A-0a282f,Company_2,DevTools,US,2024-08-27,organic,Basic,1,False,False,S-897d69,2024-12-20,0,Pro,55,2695,32340,False,False,False,False,monthly,True,24.0,7867.0,0.0,3.0,4.666666666666667
A-0a282f,Company_2,DevTools,US,2024-08-27,organic,Basic,1,False,False,S-561d54,2024-11-10,0,Pro,1,49,588,False,False,False,False,annual,True,99.0,32662.0,6.0,3.0,4.666666666666667
A-0a282f,Company_2,DevTools,US,2024-08-27,organic,Basic,1,False,False,S-04fd47,2024-10-27,0,Basic,12,228,2736,False,False,False,False,annual,True,28.0,7483.0,2.0,3.0,4.666666666666667
A-0a282f,Company_2,DevTools,US,2024-08-27,organic,Basic,1,False,False,S-b037c5,2024-10-07,0,Pro,20,980,11760,False,False,True,False,annual,True,72.0,23254.0,4.0,3.0,4.666666666666667
